fmi,enlace_inmueble
001-1165695,https://www.activosporcolombia.com/es/inmueble/467/avaluo-en-gestion-medellin-antioquia
001-1167532,https://www.activosporcolombia.com/es/inmueble/2635/casa-en-gestion-envigado-antioquia
001-1179269,https://www.activosporcolombia.com/es/unidad-inmobiliaria/867/apartamento-en-gestion-medellin-antioquia
001-1179351,https://www.activosporcolombia.com/es/unidad-inmobiliaria/867/apartamento-en-gestion-medellin-antioquia
001-1204602,https://www.activosporcolombia.com/es/inmueble/23046/kr-84-f-3d-150-ap-1226-co-aviva-ph
001-1223271,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1223353,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1223375,https://www.activosporcolombia.com/es/unidad-inmobiliaria/475/apartamento-en-gestion-medellin-antioquia
001-1262774,https://www.activosporcolombia.com/es/inmueble/13965/km-15-vi-las-palmas-cs-3-co-lemont-1
001-1297200,https://www.activosporcolombia.com/es/inmueble/35047/bodega-en-venta-medellin
001-135890,https://www.activosporcolombia.com/es/inmueble/8059/casa-en-venta-medellin
001-138882,https://www.activosporcolombia.com/es/inmueble/16951/edificio-en-gestion-medellin-antioquia
001-139288,https://www.activosporcolombia.com/es/inmueble/24655/kr-42-16-b-sur-50-lt-6-mz-d
001-151877,https://www.activosporcolombia.com/es/unidad-inmobiliaria/326/apartamento-en-gestion-medellin-antioquia
001-156530,https://www.activosporcolombia.com/es/inmueble/3854/casa-en-gestion-medellin-antioquia
001-173446,https://www.activosporcolombia.com/es/inmueble/26199/casa-en-venta-medellin
001-197443,https://www.activosporcolombia.com/es/unidad-inmobiliaria/19/hotelmotel-en-venta-la-estrella-antioquia
001-204298,https://www.activosporcolombia.com/es/inmueble/19953/casa-lote-en-venta-medellin-antioquia
001-204535,https://www.activosporcolombia.com/es/unidad-inmobiliaria/916/unidad-inmobiliaria-492065
001-207355,https://www.activosporcolombia.com/es/inmueble/21685/kr-10-19-sur-120-cs-136
001-210231,https://www.activosporcolombia.com/es/unidad-inmobiliaria/868/apartamento-en-gestion-medellin-antioquia
001-210246,https://www.activosporcolombia.com/es/unidad-inmobiliaria/868/apartamento-en-gestion-medellin-antioquia
001-232068,https://www.activosporcolombia.com/es/unidad-inmobiliaria/129/lotes-con-construccion-en-venta-medellin
001-274897,https://www.activosporcolombia.com/es/unidad-inmobiliaria/394/garaje-en-gestion-medellin-antioquia
001-274898,https://www.activosporcolombia.com/es/unidad-inmobiliaria/394/garaje-en-gestion-medellin-antioquia
001-310002,https://www.activosporcolombia.com/es/unidad-inmobiliaria/19/hotelmotel-en-venta-la-estrella-antioquia
001-311332,https://www.activosporcolombia.com/es/unidad-inmobiliaria/584/local-comercial-en-gestion-medellin-antioquia
001-312818,https://www.activosporcolombia.com/es/unidad-inmobiliaria/398/apartamento-en-venta-medellin
001-312837,https://www.activosporcolombia.com/es/unidad-inmobiliaria/398/apartamento-en-venta-medellin
001-312839,https://www.activosporcolombia.com/es/unidad-inmobiliaria/398/apartamento-en-venta-medellin
001-312848,https://www.activosporcolombia.com/es/unidad-inmobiliaria/398/apartamento-en-venta-medellin
001-312860,https://www.activosporcolombia.com/es/unidad-inmobiliaria/398/apartamento-en-venta-medellin
001-338535,https://www.activosporcolombia.com/es/inmueble/5522/local-comercial-en-venta-medellin
001-342205,https://www.activosporcolombia.com/es/unidad-inmobiliaria/19/hotelmotel-en-venta-la-estrella-antioquia
001-349611,https://www.activosporcolombia.com/es/unidad-inmobiliaria/678/edificio-en-gestion-itagui-antioquia
001-349637,https://www.activosporcolombia.com/es/unidad-inmobiliaria/678/edificio-en-gestion-itagui-antioquia
001-36672,https://www.activosporcolombia.com/es/unidad-inmobiliaria/685/apartamento-en-gestion-medellin-antioquia
001-379392,https://www.activosporcolombia.com/es/inmueble/26209/casa-en-venta-medellin
001-389120,https://www.activosporcolombia.com/es/inmueble/21585/casa-en-gestion-medellin-antioquia
001-406154,https://www.activosporcolombia.com/es/inmueble/5464/casa-en-gestion-medellin-antioquia
001-410364,https://www.activosporcolombia.com/es/inmueble/32277/local-comercial-en-gestion-medellin-antioquia
001-41966,https://www.activosporcolombia.com/es/inmueble/21208/garaje-en-gestion-medellin-antioquia
001-428374,https://www.activosporcolombia.com/es/inmueble/26271/casa-en-gestion-medellin-antioquia
001-439870,https://www.activosporcolombia.com/es/unidad-inmobiliaria/320/oficina-y-garaje-en-venta-medellin
001-45211,https://www.activosporcolombia.com/es/inmueble/1272/edificacion-para-hotel-motel-en-gestion-medellin-antioquia
001-469617,https://www.activosporcolombia.com/es/unidad-inmobiliaria/590/local-comercial-en-gestion-medellin-antioquia
001-469618,https://www.activosporcolombia.com/es/unidad-inmobiliaria/590/local-comercial-en-gestion-medellin-antioquia
001-47583,https://www.activosporcolombia.com/es/inmueble/28808/local-comercial-en-venta-medellin-antioquia
001-490161,https://www.activosporcolombia.com/es/unidad-inmobiliaria/789/apartamento-en-gestion-medellin-antioquia
001-496730,https://www.activosporcolombia.com/es/unidad-inmobiliaria/588/casa-en-gestion-medellin-antioquia
001-516212,https://www.activosporcolombia.com/es/inmueble/32123/calle-4-sur-38-121-int-0902-direccion-catastral
001-516459,https://www.activosporcolombia.com/es/unidad-inmobiliaria/381/apartamento-en-gestion-medellin-antioquia
001-518550,https://www.activosporcolombia.com/es/unidad-inmobiliaria/407/apartamento-en-gestion-itagui-antioquia
001-518551,https://www.activosporcolombia.com/es/unidad-inmobiliaria/407/apartamento-en-gestion-itagui-antioquia
001-518552,https://www.activosporcolombia.com/es/unidad-inmobiliaria/407/apartamento-en-gestion-itagui-antioquia
001-518553,https://www.activosporcolombia.com/es/unidad-inmobiliaria/407/apartamento-en-gestion-itagui-antioquia
001-519319,https://www.activosporcolombia.com/es/inmueble/5389/casa-recreo-en-gestion-medellin-antioquia
001-527855,https://www.activosporcolombia.com/es/inmueble/490/avaluo-en-gestion-envigado-antioquia
001-533217,https://www.activosporcolombia.com/es/inmueble/35972/apartamento-en-gestion-medellin-antioquia
001-533419,https://www.activosporcolombia.com/es/unidad-inmobiliaria/864/apartamento-en-gestion-medellin-antioquia
001-533428,https://www.activosporcolombia.com/es/unidad-inmobiliaria/864/apartamento-en-gestion-medellin-antioquia
001-533429,https://www.activosporcolombia.com/es/unidad-inmobiliaria/864/apartamento-en-gestion-medellin-antioquia
001-534833,https://www.activosporcolombia.com/es/unidad-inmobiliaria/870/apartamento-en-gestion-medellin-antioquia
001-550970,https://www.activosporcolombia.com/es/inmueble/23845/casa-en-gestion-medellin-antioquia
001-55237,https://www.activosporcolombia.com/es/unidad-inmobiliaria/590/local-comercial-en-gestion-medellin-antioquia
001-55329,https://www.activosporcolombia.com/es/inmueble/28486/casa-en-venta-medellin
001-602914,https://www.activosporcolombia.com/es/inmueble/23843/casa-en-gestion-medellin-antioquia
001-608122,https://www.activosporcolombia.com/es/inmueble/30171/casa-en-gestion-medellin-antioquia
001-637171,https://www.activosporcolombia.com/es/unidad-inmobiliaria/874/apartamento-en-venta-medellin
001-637210,https://www.activosporcolombia.com/es/unidad-inmobiliaria/874/apartamento-en-venta-medellin
001-650893,https://www.activosporcolombia.com/es/unidad-inmobiliaria/784/apartamento-en-gestion-medellin-antioquia
001-668128,https://www.activosporcolombia.com/es/inmueble/4748/casa-en-gestion-medellin-antioquia
001-669585,https://www.activosporcolombia.com/es/inmueble/28607/cl-6-sur-43-a-227-lc-1242
001-69632,https://www.activosporcolombia.com/es/inmueble/14080/kr-53-38-44
001-708487,https://www.activosporcolombia.com/es/inmueble/38070/lote-en-venta-antioquia-envigado
001-712593,https://www.activosporcolombia.com/es/inmueble/3456/casa-en-gestion-envigado-antioquia
001-729530,https://www.activosporcolombia.com/es/inmueble/19964/local-comercial-en-venta-sabaneta
001-758116,https://www.activosporcolombia.com/es/inmueble/35434/apartamento-en-gestion-envigado-antioquia
001-768176,https://www.activosporcolombia.com/es/inmueble/12053/cl-17-47-cs-103-ur-quintas-del-lago
001-772534,https://www.activosporcolombia.com/es/inmueble/35731/apartamento-en-venta-medellin
001-800632,https://www.activosporcolombia.com/es/unidad-inmobiliaria/860/apartamento-en-gestion-envigado-antioquia
001-800717,https://www.activosporcolombia.com/es/unidad-inmobiliaria/860/apartamento-en-gestion-envigado-antioquia
001-800776,https://www.activosporcolombia.com/es/unidad-inmobiliaria/860/apartamento-en-gestion-envigado-antioquia
001-810576,https://www.activosporcolombia.com/es/unidad-inmobiliaria/357/apartamento-en-venta-medellin
001-810577,https://www.activosporcolombia.com/es/unidad-inmobiliaria/357/apartamento-en-venta-medellin
001-810725,https://www.activosporcolombia.com/es/unidad-inmobiliaria/357/apartamento-en-venta-medellin
001-826815,https://www.activosporcolombia.com/es/unidad-inmobiliaria/859/apartamento-en-gestion-envigado-antioquia
001-828534,https://www.activosporcolombia.com/es/unidad-inmobiliaria/357/apartamento-en-venta-medellin
001-828631,https://www.activosporcolombia.com/es/unidad-inmobiliaria/357/apartamento-en-venta-medellin
001-839124,https://www.activosporcolombia.com/es/unidad-inmobiliaria/859/apartamento-en-gestion-envigado-antioquia
001-840573,https://www.activosporcolombia.com/es/inmueble/29199/parqueadero-52-con-pino-viejo-cl-2s-20-75
001-840574,https://www.activosporcolombia.com/es/inmueble/29207/parqueadero-53-con-pino-viejo-cl-2s-20-75
001-841587,https://www.activosporcolombia.com/es/unidad-inmobiliaria/169/garaje-en-gestion-medellin-antioquia
001-841588,https://www.activosporcolombia.com/es/unidad-inmobiliaria/169/garaje-en-gestion-medellin-antioquia
001-841589,https://www.activosporcolombia.com/es/unidad-inmobiliaria/169/garaje-en-gestion-medellin-antioquia
001-848572,https://www.activosporcolombia.com/es/inmueble/33012/carrera-58-79-101-ciudadela-parques-de-san-pablo
001-853796,https://www.activosporcolombia.com/es/unidad-inmobiliaria/875/apartamento-en-gestion-medellin-antioquia
001-853837,https://www.activosporcolombia.com/es/unidad-inmobiliaria/875/apartamento-en-gestion-medellin-antioquia
001-861435,https://www.activosporcolombia.com/es/unidad-inmobiliaria/358/apartamento-en-venta-medellin
001-861454,https://www.activosporcolombia.com/es/unidad-inmobiliaria/358/apartamento-en-venta-medellin
001-861455,https://www.activosporcolombia.com/es/unidad-inmobiliaria/358/apartamento-en-venta-medellin
001-861478,https://www.activosporcolombia.com/es/unidad-inmobiliaria/358/apartamento-en-venta-medellin
001-861479,https://www.activosporcolombia.com/es/unidad-inmobiliaria/358/apartamento-en-venta-medellin
001-863729,https://www.activosporcolombia.com/es/unidad-inmobiliaria/69/unidad-inmobiliaria-medellin-antioquia
001-863755,https://www.activosporcolombia.com/es/unidad-inmobiliaria/69/unidad-inmobiliaria-medellin-antioquia
001-877042,https://www.activosporcolombia.com/es/inmueble/6516/edificio-en-venta-medellin
001-878886,https://www.activosporcolombia.com/es/unidad-inmobiliaria/139/apartamento-en-venta-envigado
001-878984,https://www.activosporcolombia.com/es/unidad-inmobiliaria/139/apartamento-en-venta-envigado
001-882060,https://www.activosporcolombia.com/es/unidad-inmobiliaria/317/apartamento-en-venta-sabaneta
001-891920,https://www.activosporcolombia.com/es/inmueble/5194/carrera-27-numero-20-sur-181-int-99015-direccion-catastral
001-897735,https://www.activosporcolombia.com/es/unidad-inmobiliaria/493/apartamento-en-gestion-sabaneta-antioquia
001-897781,https://www.activosporcolombia.com/es/unidad-inmobiliaria/493/apartamento-en-gestion-sabaneta-antioquia
001-897882,https://www.activosporcolombia.com/es/unidad-inmobiliaria/493/apartamento-en-gestion-sabaneta-antioquia
001-903210,https://www.activosporcolombia.com/es/unidad-inmobiliaria/382/oficina-en-gestion-medellin-antioquia
001-903211,https://www.activosporcolombia.com/es/unidad-inmobiliaria/382/oficina-en-gestion-medellin-antioquia
001-903212,https://www.activosporcolombia.com/es/unidad-inmobiliaria/382/oficina-en-gestion-medellin-antioquia
001-917432,https://www.activosporcolombia.com/es/inmueble/21696/kr-10-19-sur-120
001-9338,https://www.activosporcolombia.com/es/inmueble/20375/casa-lote-en-gestion-envigado-antioquia
001-941215,https://www.activosporcolombia.com/es/inmueble/30001/casa-en-gestion-medellin-antioquia
001-948530,https://www.activosporcolombia.com/es/unidad-inmobiliaria/873/garaje-en-gestion-medellin-antioquia
001-948531,https://www.activosporcolombia.com/es/unidad-inmobiliaria/873/garaje-en-gestion-medellin-antioquia
001-948532,https://www.activosporcolombia.com/es/unidad-inmobiliaria/873/garaje-en-gestion-medellin-antioquia
001-948610,https://www.activosporcolombia.com/es/unidad-inmobiliaria/873/garaje-en-gestion-medellin-antioquia
001-948611,https://www.activosporcolombia.com/es/unidad-inmobiliaria/873/garaje-en-gestion-medellin-antioquia
001-950133,https://www.activosporcolombia.com/es/inmueble/29016/lc-119-ps-1-ed-complex-las-vegas-cr-48-25aa-s-70-en-el-que-funciona-establecimiento-de-comercio-sush
001-953099,https://www.activosporcolombia.com/es/inmueble/17988/kr-78-a-33-a-16-in-1301-ed-torre-salamanca
001-965635,https://www.activosporcolombia.com/es/inmueble/28981/kr-24-36-d-sur-141-cs-34-parcelacion-alamos-del-escobero-ph
001-977114,https://www.activosporcolombia.com/es/inmueble/12689/kr-58-77-41-ap-1409-to-6-et-2-co-reserva-del-sur
001-984012,https://www.activosporcolombia.com/es/inmueble/24769/apartamento-en-gestion-envigado-antioquia
004-21406,https://www.activosporcolombia.com/es/inmueble/30375/calle-6-andes-n0-5-40
004-263,https://www.activosporcolombia.com/es/inmueble/14334/cs-cl-52-56-21-brr-san-pedro
005-10259,https://www.activosporcolombia.com/es/inmueble/14314/cl-49
008-19347,https://www.activosporcolombia.com/es/inmueble/18902/casa-en-venta-carepa
008-23666,https://www.activosporcolombia.com/es/inmueble/8639/casa-en-venta-carepa
008-24057,https://www.activosporcolombia.com/es/inmueble/16517/casa-en-venta-carepa
008-24649,https://www.activosporcolombia.com/es/inmueble/16498/casa-en-venta-carepa
008-26302,https://www.activosporcolombia.com/es/inmueble/18887/casa-en-venta-carepa
012-39521,https://www.activosporcolombia.com/es/inmueble/21512/apartamento-en-venta-copacabana
012-44486,https://www.activosporcolombia.com/es/inmueble/21509/casa-en-gestion-copacabana-antioquia
012-771,https://www.activosporcolombia.com/es/inmueble/29783/finca-en-gestion-copacabana-antioquia
015-55423,https://www.activosporcolombia.com/es/inmueble/16183/carrera-20-nro-3-130-lote-el-man-centro-comercial-cauca-centro-modulo-a2-local-103-interior-103
015-64874,https://www.activosporcolombia.com/es/inmueble/19397/finca-en-gestion-caucasia-antioquia
015-66122,https://www.activosporcolombia.com/es/inmueble/13654/sc-hacienda-el-triangulo-lt-3-de-terreno
017-14019,https://www.activosporcolombia.com/es/inmueble/9106/casa-en-venta-la-ceja
017-39411,https://www.activosporcolombia.com/es/inmueble/9116/casa-en-venta-la-ceja
017-39414,https://www.activosporcolombia.com/es/inmueble/31635/lote-en-venta-la-ceja
017-46698,https://www.activosporcolombia.com/es/inmueble/9388/lote-en-gestion-la-ceja-antioquia
01N-267151,https://www.activosporcolombia.com/es/inmueble/23251/paraje-cuartas
01N-28652,https://www.activosporcolombia.com/es/unidad-inmobiliaria/318/edificio-en-venta-medellin
01N-312986,https://www.activosporcolombia.com/es/inmueble/23230/paraje-cuartas
01N-353938,https://www.activosporcolombia.com/es/unidad-inmobiliaria/742/lote-en-venta-san-pedro-de-cartago
01N-465835,https://www.activosporcolombia.com/es/unidad-inmobiliaria/742/lote-en-venta-san-pedro-de-cartago
01N-475567,https://www.activosporcolombia.com/es/unidad-inmobiliaria/628/casa-en-gestion-medellin-antioquia
01N-5065593,https://www.activosporcolombia.com/es/inmueble/23220/paraje-cuartas
01N-5081383,https://www.activosporcolombia.com/es/unidad-inmobiliaria/814/apartamento-en-gestion-medellin-antioquia
01N-5081434,https://www.activosporcolombia.com/es/unidad-inmobiliaria/814/apartamento-en-gestion-medellin-antioquia
01N-5141346,https://www.activosporcolombia.com/es/inmueble/23646/casa-en-venta-medellin
01N-5186851,https://www.activosporcolombia.com/es/inmueble/33021/torre-1-etapa-2a-ubicada-en-la-calle-52-n0-74-74-conjunto-residencial-estadio-de-la-plaza
01N-5188979,https://www.activosporcolombia.com/es/unidad-inmobiliaria/628/casa-en-gestion-medellin-antioquia
01N-5387297,https://www.activosporcolombia.com/es/unidad-inmobiliaria/876/apartamento-en-gestion-medellin-antioquia
01N-5387577,https://www.activosporcolombia.com/es/unidad-inmobiliaria/876/apartamento-en-gestion-medellin-antioquia
01N-7240,https://www.activosporcolombia.com/es/unidad-inmobiliaria/318/edificio-en-venta-medellin
01N-91296,https://www.activosporcolombia.com/es/unidad-inmobiliaria/940/unidad-inmobiliaria-487252
020-16089,https://www.activosporcolombia.com/es/inmueble/958/lt-la-mosca
020-20456,https://www.activosporcolombia.com/es/unidad-inmobiliaria/686/lote-en-gestion-rionegro-antioquia
020-21430,https://www.activosporcolombia.com/es/inmueble/2076/casa-recreo-en-gestion-rionegro-antioquia
020-3132,https://www.activosporcolombia.com/es/inmueble/30218/finca-en-gestion-rionegro-antioquia
020-51105,https://www.activosporcolombia.com/es/inmueble/21190/lote-en-gestion-guarne-antioquia
020-67825,https://www.activosporcolombia.com/es/inmueble/26455/lote-en-venta-rionegro
020-73166,https://www.activosporcolombia.com/es/inmueble/32403/lt-1-paraje-la-convencion
020-78057,https://www.activosporcolombia.com/es/inmueble/27233/lote-en-gestion-guarne-antioquia
020-84673,https://www.activosporcolombia.com/es/inmueble/18620/lt-4-en-via-vilachagua
020-8847,https://www.activosporcolombia.com/es/inmueble/26381/casa-recreo-en-gestion-rionegro-antioquia
024-11035,https://www.activosporcolombia.com/es/inmueble/30190/casa-lote-en-gestion-santa-fe-de-antioquia-antioquia
024-14339,https://www.activosporcolombia.com/es/inmueble/30186/casa-lote-en-gestion-santa-fe-de-antioquia-antioquia
028-15774,https://www.activosporcolombia.com/es/inmueble/38113/parcela-en-venta-sonson-antioquia
034-67292,https://www.activosporcolombia.com/es/unidad-inmobiliaria/603/lote-en-gestion-turbo-antioquia
034-67293,https://www.activosporcolombia.com/es/unidad-inmobiliaria/603/lote-en-gestion-turbo-antioquia
034-67294,https://www.activosporcolombia.com/es/unidad-inmobiliaria/603/lote-en-gestion-turbo-antioquia
034-67398,https://www.activosporcolombia.com/es/unidad-inmobiliaria/603/lote-en-gestion-turbo-antioquia
040-118084,https://www.activosporcolombia.com/es/inmueble/32173/casa-en-gestion-barranquilla-atlantico
040-139676,https://www.activosporcolombia.com/es/unidad-inmobiliaria/421/local-comercial-en-gestion-barranquilla-atlantico
040-139677,https://www.activosporcolombia.com/es/unidad-inmobiliaria/421/local-comercial-en-gestion-barranquilla-atlantico
040-139718,https://www.activosporcolombia.com/es/unidad-inmobiliaria/400/local-comercial-en-gestion-barranquilla-atlantico
040-139719,https://www.activosporcolombia.com/es/unidad-inmobiliaria/400/local-comercial-en-gestion-barranquilla-atlantico
040-139767,https://www.activosporcolombia.com/es/unidad-inmobiliaria/421/local-comercial-en-gestion-barranquilla-atlantico
040-139768,https://www.activosporcolombia.com/es/unidad-inmobiliaria/421/local-comercial-en-gestion-barranquilla-atlantico
040-139769,https://www.activosporcolombia.com/es/unidad-inmobiliaria/421/local-comercial-en-gestion-barranquilla-atlantico
040-14057,https://www.activosporcolombia.com/es/inmueble/13227/cr-55-72-73
040-167721,https://www.activosporcolombia.com/es/inmueble/13244/brr-chiquinquira-cl-40-27-61-cs
040-170148,https://www.activosporcolombia.com/es/inmueble/11673/apartamento-en-gestion-barranquilla-atlantico
040-198940,https://www.activosporcolombia.com/es/inmueble/8139/edificio-en-gestion-barranquilla-atlantico
040-203173,https://www.activosporcolombia.com/es/inmueble/80/local-comercial-en-venta-barranquilla-atlantico
040-208744,https://www.activosporcolombia.com/es/inmueble/28372/local-comercial-en-gestion-barranquilla-atlantico
040-227924,https://www.activosporcolombia.com/es/inmueble/28375/local-comercial-en-gestion-barranquilla-atlantico
040-238086,https://www.activosporcolombia.com/es/inmueble/24845/casa-en-gestion-barranquilla-atlantico
040-238956,https://www.activosporcolombia.com/es/unidad-inmobiliaria/82/apartamento-en-venta-barranquilla-atlantico
040-277153,https://www.activosporcolombia.com/es/inmueble/12697/casa-en-gestion-barranquilla-atlantico
040-278077,https://www.activosporcolombia.com/es/unidad-inmobiliaria/783/apartamento-en-gestion-barranquilla-atlantico
040-278078,https://www.activosporcolombia.com/es/unidad-inmobiliaria/783/apartamento-en-gestion-barranquilla-atlantico
040-278104,https://www.activosporcolombia.com/es/unidad-inmobiliaria/783/apartamento-en-gestion-barranquilla-atlantico
040-278927,https://www.activosporcolombia.com/es/inmueble/27314/apartamento-en-gestion-barranquilla-atlantico
040-284894,https://www.activosporcolombia.com/es/inmueble/9703/aapartamento-en-venta-barranquilla-atlantico
040-285679,https://www.activosporcolombia.com/es/inmueble/30591/apartamento-en-gestion-barranquilla-atlantico
040-312425,https://www.activosporcolombia.com/es/unidad-inmobiliaria/352/apartamento-en-gestion-barranquilla-atlantico
040-321561,https://www.activosporcolombia.com/es/inmueble/5532/local-20-manzana-80-calle-76-no-74-61
040-323036,https://www.activosporcolombia.com/es/inmueble/29835/local-comercial-en-gestion-barranquilla-atlantico
040-332865,https://www.activosporcolombia.com/es/inmueble/3950/apartamento-7b-carrera-52-no-82-135-edificio-casa-bella
040-383961,https://www.activosporcolombia.com/es/inmueble/34890/casa-en-gestion-barranquilla-atlantico
040-416423,https://www.activosporcolombia.com/es/inmueble/9660/casa-en-venta-barranquilla
040-4468,https://www.activosporcolombia.com/es/inmueble/11677/casa-en-venta-barranquilla
040-451692,https://www.activosporcolombia.com/es/inmueble/33406/apartamento-en-venta-barranquilla
040-456648,https://www.activosporcolombia.com/es/inmueble/20387/apartamento-en-venta-barranquilla
040-456803,https://www.activosporcolombia.com/es/inmueble/16131/apartamento-en-venta-barranquilla
040-456812,https://www.activosporcolombia.com/es/inmueble/5379/apartamento-en-venta-barranquilla
040-476484,https://www.activosporcolombia.com/es/inmueble/12011/apartamento-en-venta-barranquilla
040-510094,https://www.activosporcolombia.com/es/inmueble/18594/apartamento-en-venta-barranquilla
040-531402,https://www.activosporcolombia.com/es/inmueble/25143/apartamento-en-gestion-barranquilla-atlantico
040-53381,https://www.activosporcolombia.com/es/inmueble/13636/cr-51-79-53
040-53818,https://www.activosporcolombia.com/es/unidad-inmobiliaria/612/lote-en-gestion-tubara-atlantico
040-551093,https://www.activosporcolombia.com/es/inmueble/5390/apartamento-en-gestion-barranquilla-atlantico
040-554098,https://www.activosporcolombia.com/es/inmueble/5467/apartamento-en-gestion-barranquilla-atlantico
040-559346,https://www.activosporcolombia.com/es/inmueble/10455/apartamento-en-gestion-barranquilla-atlantico
040-73537,https://www.activosporcolombia.com/es/inmueble/12796/bodega-en-gestion-barranquilla-atlantico
060-110815,https://www.activosporcolombia.com/es/unidad-inmobiliaria/703/apartamento-en-gestion-cartagena-de-indias-bolivar
060-110821,https://www.activosporcolombia.com/es/unidad-inmobiliaria/703/apartamento-en-gestion-cartagena-de-indias-bolivar
060-149749,https://www.activosporcolombia.com/es/inmueble/10545/apartamento-en-gestion-cartagena-de-indias-bolivar
060-161130,https://www.activosporcolombia.com/es/inmueble/35301/garaje-en-venta-cartagena
060-161141,https://www.activosporcolombia.com/es/inmueble/3210/cl-6a-con-cr-5a-gj-23-ed-bocabahia
060-161142,https://www.activosporcolombia.com/es/unidad-inmobiliaria/855/apartamento-en-gestion-cartagena-de-indias-bolivar
060-161147,https://www.activosporcolombia.com/es/unidad-inmobiliaria/361/ap-1501-cll-6-a-cra-5-a-brr-bocagrande-ed-boca-bahia
060-161161,https://www.activosporcolombia.com/es/inmueble/35307/deposito-en-venta-cartagena
060-161171,https://www.activosporcolombia.com/es/inmueble/3215/cl-6a-con-cr-5a-do-21-ed-bocabahia
060-161174,https://www.activosporcolombia.com/es/unidad-inmobiliaria/361/ap-1501-cll-6-a-cra-5-a-brr-bocagrande-ed-boca-bahia
060-161188,https://www.activosporcolombia.com/es/inmueble/3222/cl-6a-con-cr-5a-ap-701-ed-bocabahia
060-161200,https://www.activosporcolombia.com/es/inmueble/35319/apartamento-en-venta-cartagena
060-161204,https://www.activosporcolombia.com/es/unidad-inmobiliaria/361/ap-1501-cll-6-a-cra-5-a-brr-bocagrande-ed-boca-bahia
060-166145,https://www.activosporcolombia.com/es/inmueble/29041/garaje-14-ed-la-boquilla-marina-club-p-h-en-la-boquilla
060-166186,https://www.activosporcolombia.com/es/inmueble/29045/ap-104-ed-la-boquilla-marina-club-p-h-en-la-boquilla
060-1757,https://www.activosporcolombia.com/es/inmueble/20849/apartamento-en-gestion-cartagena-de-indias-bolivar
060-187525,https://www.activosporcolombia.com/es/inmueble/5905/oficina-en-gestion-cartagena-de-indias-bolivar
060-217643,https://www.activosporcolombia.com/es/unidad-inmobiliaria/466/apartamento-en-gestion-cartagena-de-indias-bolivar
060-22284,https://www.activosporcolombia.com/es/inmueble/9312/lote-en-gestion-cartagena-de-indias-bolivar
060-243312,https://www.activosporcolombia.com/es/inmueble/2193/apartamento-en-gestion-cartagena-de-indias-bolivar
060-247126,https://www.activosporcolombia.com/es/inmueble/5222/apartamento-en-gestion-cartagena-de-indias-bolivar
060-29457,https://www.activosporcolombia.com/es/inmueble/22589/isla-en-gestion-cartagena-de-indias-bolivar
060-29458,https://www.activosporcolombia.com/es/inmueble/22604/lote-en-gestion-cartagena-de-indias-bolivar
060-29459,https://www.activosporcolombia.com/es/inmueble/22619/lote-en-gestion-cartagena-de-indias-bolivar
